Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
,,,UTM,UTM,degC,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
000620A,2000.0,GOPA,544525.5,4939793.17,17.9,4.85,0.000153125,0.00648843,1.4503133393017011e-05,1.291004049058154e-06,0.0006091877496671,1.0661287998847428e-05,0.0005853038366762,BDL,4.5935501032014176e-05,2.8965233491051222e-05,7.650082339438095e-05,0.0003266842105263,0.0002595204513399,BDL,BDL,BDL,6.610451800957735e-05,BDL,NM,NM,NM
040720M,2004.0,GOPA,544621.89,4939824.79,20.2,6.395,NM,0.00360329,BDL,1.1266944428143888e-05,BDL,4.034000864428757e-05,0.0061596965154369,BDL,0.000637239982301,0.0001925529726393,0.000367408553321,0.0004206052631578,0.002802191819464,BDL,3.986658990788947e-06,BDL,0.0014064735581927,2.069043943755699e-07,NM,NM,NM
080730B,2008.0,GOPA,544533.31,4939798.56,50.5,5.426,NM,0.00117917,BDL,1.0738806408074644e-05,0.0034870173102529,4.531462656677712e-05,0.0032037908262149,BDL,0.0007098806009979,0.0004157951132688,0.0006320918785368,0.0003459105263157,0.0008090042313117,BDL,BDL,BDL,0.0023709265042681,BDL,NM,NM,NM
080720K,2008.0,Sentinel Meadows,511117.0,4934622.0,94.8,8.45,NM,0.00283993,BDL,2.068540578604542e-05,0.0062832889480692,0.000244260939706,0.0137099893702716,BDL,0.0002633587219265,BDL,BDL,0.001645197368421,0.0073025246826516,BDL,8.018997797356827e-06,BDL,0.00019605454924,1.447014574914132e-05,NM,NM,NM
080720H,2008.0,Sentinel Meadows,511117.0,4934622.0,82.9,8.653,NM,0.00303215,BDL,2.200575083621853e-05,0.0061085219707057,0.0002552940721798,0.0142939907638915,BDL,0.0002747072123979,BDL,BDL,0.001652447368421,0.0073091043723554,BDL,8.554014817781338e-06,BDL,0.0001918644597126,BDL,NM,NM,NM
080720I,2008.0,Sentinel Meadows,511117.0,4934622.0,76.1,8.65,NM,0.00259921,BDL,1.6959098644445746e-05,0.0065412782956058,0.0002499644582913,0.0139418819747601,BDL,0.0002684447412675,BDL,BDL,0.0016800657894736,0.0074119393511988,BDL,8.191079295154186e-06,BDL,0.0002008041848844,BDL,NM,NM,NM
080718E,2008.0,Imperial Geyser Basin,511911.0,4932627.0,69.3,8.135,NM,0.00626144,BDL,5.281380200692447e-07,0.0067410119840213,0.0004284885110214,0.0174521472062203,BDL,0.0002968800641587,BDL,BDL,0.0016986578947368,0.0087628490832157,BDL,9.940053063676411e-06,BDL,0.0002810196752029,BDL,NM,NM,NM
080718F,2008.0,Imperial Geyser Basin,511911.0,4932627.0,72.8,8.07,NM,0.00649133,BDL,7.04184026758993e-07,0.0048768308921438,0.0004293642011237,0.0174370690458003,BDL,0.0002961746735152,BDL,BDL,0.0017105394736842,0.0088056346967559,BDL,9.858705446535842e-06,BDL,0.0002827529668956,BDL,NM,NM,NM
EX080718A,2008.0,Imperial Geyser Basin,511833.54,4933023.48,80.7,8.705,NM,0.00418582,BDL,1.4289067542984563e-05,0.0052430093209054,0.0005152371459443,0.0173541393978338,BDL,0.0004129175875293,BDL,BDL,0.0017267657894736,0.0093916995768688,BDL,1.867616139367241e-05,BDL,0.0002847027899229,BDL,NM,NM,NM
EX080718B,2008.0,Imperial Geyser Basin,511833.54,4933023.48,63.7,8.125,NM,0.0065994,BDL,1.408368053517986e-06,0.0051930758988015,0.0005206422338279,0.017961223705858,BDL,0.0003727262637378,BDL,BDL,0.0018782105263157,0.0091404583921015,BDL,1.031550360432519e-05,BDL,0.0002972777430772,BDL,NM,NM,NM
EX080718C,2008.0,Imperial Geyser Basin,511757.8,4933113.57,75.8,7.685,NM,0.0049572,BDL,2.9341001114958043e-08,0.0050266311584553,0.0004757681907506,0.0164654113723369,BDL,0.0003477710793052,BDL,BDL,0.0019519736842105,0.0094660648801128,BDL,1.026231477773328e-05,BDL,0.0003831459504476,BDL,NM,NM,NM
080723CS2,2008.0,Calcite Springs,547771.56,4972722.1,93.6,8.005,1.25e-05,0.00121384,3.581020590868398e-07,0.0001979050525203,0.0037333555259653,0.000324774401383,0.0091366931307574,0.0008149318482538,0.0024710047713071,0.000146778456799,0.0003085024549004,0.0002410657894736,0.0070901128349788,BDL,8.876276531838207e-06,BDL,0.0019154460753695,BDL,NM,NM,NM
